"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Percent Margin of Error","","(X)","±0.2","±0.2","±0.2","±0.5","±0.5","±0.2","±0.2","±0.2","±0.1","±0.1","±0.6","±0.5","±0.1","±0.2","±0.2","(X)","±0.1","±0.4","±0.4","±0.1","(X)","±0.2","±0.2","(X)","±0.5","±0.5","","(X)","±0.7","±0.7","±0.7","±1.4","±0.2","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±1.5","±0.7","±0.2","±0.3","±0.2","±0.1","","(X)","±1.5","±0.3","±0.4","±0.3","±0.1","±1.5","","(X)","*****","±0.8","±0.1","±0.1","±0.8","*****","±0.1","±0.2","±0.2","±0.2","±0.1","±0.1","±0.3","±0.1","±0.3","(X)","","(X)","±0.7","±0.7"
"Grays Harbor County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","71,233","36,656","34,577","4,010","3,998","4,321","4,128","3,988","8,461","8,207","9,484","5,968","5,240","8,171","3,606","1,651","43.0","56,241","53,878","16,593","13,428","56,241","28,936","27,305","13,428","6,389","7,039","","71,233","68,720","2,513","68,720","62,665","756","3,287","60","81","15","51","1,202","8","240","284","44","170","63","393","244","25","16","120","83","566","2,513","417","1,396","324","11","","71,233","65,115","1,337","4,855","1,600","359","661","","71,233","6,864","5,616","315","77","856","64,369","56,988","744","2,918","1,145","234","18","2,322","26","2,296","35,278","","54,208","27,793","26,415"
"    Margin of Error","","*****","±102","±102","±122","±276","±271","±93","±107","±84","±161","±137","±346","±339","±77","±207","±225","±0.3","±24","±211","±359","±87","±24","±57","±47","±87","±59","±53","","*****","±333","±333","±333","±309","±142","±300","±69","±67","±20","±62","±200","±13","±155","±144","±34","±112","±54","±222","±50","±30","±19","±93","±88","±250","±333","±144","±225","±175","±12","","*****","±435","±114","±176","±62","±57","±251","","*****","*****","±402","±186","±57","±353","*****","±40","±144","±242","±183","±47","±23","±330","±27","±330","±122","","±307","±198","±205"
"    Percent","","71,233","51.5%","48.5%","5.6%","5.6%","6.1%","5.8%","5.6%","11.9%","11.5%","13.3%","8.4%","7.4%","11.5%","5.1%","2.3%","(X)","79.0%","75.6%","23.3%","18.9%","56,241","51.5%","48.5%","13,428","47.6%","52.4%","","71,233","96.5%","3.5%","96.5%","88.0%","1.1%","4.6%","0.1%","0.1%","0.0%","0.1%","1.7%","0.0%","0.3%","0.4%","0.1%","0.2%","0.1%","0.6%","0.3%","0.0%","0.0%","0.2%","0.1%","0.8%","3.5%","0.6%","2.0%","0.5%","0.0%","","71,233","91.4%","1.9%","6.8%","2.2%","0.5%","0.9%","","71,233","9.6%","7.9%","0.4%","0.1%","1.2%","90.4%","80.0%","1.0%","4.1%","1.6%","0.3%","0.0%","3.3%","0.0%","3.2%","(X)","","54,208","51.3%","48.7%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","±0.2","±0.4","±0.4","±0.1","±0.1","±0.1","±0.2","±0.2","±0.5","±0.5","±0.1","±0.3","±0.3","(X)","±0.1","±0.3","±0.5","±0.1","(X)","±0.1","±0.1","(X)","±0.3","±0.3","","(X)","±0.5","±0.5","±0.5","±0.4","±0.2","±0.4","±0.1","±0.1","±0.1","±0.1","±0.3","±0.1","±0.2","±0.2","±0.1","±0.2","±0.1","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.4","±0.5","±0.2","±0.3","±0.2","±0.1","","(X)","±0.6","±0.2","±0.2","±0.1","±0.1","±0.4","","(X)","*****","±0.6","±0.3","±0.1","±0.5","*****","±0.1","±0.2","±0.3","±0.3","±0.1","±0.1","±0.5","±0.1","±0.5","(X)","","(X)","±0.2","±0.2"
"Island County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","80,113","39,928","40,185","4,525","4,004","4,231","4,163","5,655","10,075","7,972","9,432","5,772","6,432","10,803","4,922","2,127","44.3","64,897","62,272","21,606","17,852","64,897","32,085","32,812","17,852","8,356","9,496","","80,113","76,738","3,375","76,738","68,488","2,416","877","35","48","0","21","3,609","48","299","2,277","627","196","31","131","374","67","108","101","98","974","3,375","282","635","1,389","67","","80,113","71,588","2,939","1,752","5,390","715","1,467","","80,113","5,402","3,746","454","130","1,072","74,711","64,659","2,385","844","3,594","374","142","2,713","41","2,672","40,711","","63,032","31,373","31,659"
"    Margin of Error","","*****","±106","±106","±30","±306","±304","±206","±222","±195","±127","±107","±343","±326","±105","±234","±217","±0.3","*****","±268","±322","±99","*****","±24","±24","±99","±81","±55","","*****","±432","±432","±432","±423","±142","±141","±34","±46","±28","±22","±335","±48","±117","±369","±237","±125","±30","±74","±67","±32","±79","±87","±52","±267","±432","±144","±165","±341","±56","","*****","±448","±137","±150","±78","±148","±411","","*****","*****","±302","±195","±114","±227","*****","±86","±139","±136","±335","±67","±77","±389","±51","±379","±195","","±372","±222","±240"
"    Percent","","80,113","49.8%","50.2%","5.6%","5.0%","5.3%","5.2%","7.1%","12.6%","10.0%","11.8%","7.2%","8.0%","13.5%","6.1%","2.7%","(X)","81.0%","77.7%","27.0%","22.3%","64,897","49.4%","50.6%","17,852","46.8%","53.2%","","80,113","95.8%","4.2%","95.8%","85.5%","3.0%","1.1%","0.0%","0.1%","0.0%","0.0%","4.5%","0.1%","0.4%","2.8%","0.8%","0.2%","0.0%","0.2%","0.5%","0.1%","0.1%","0.1%","0.1%","1.2%","4.2%","0.4%","0.8%","1.7%","0.1%","","80,113","89.4%","3.7%","2.2%","6.7%","0.9%","1.8%","","80,113","6.7%","4.7%","0.6%","0.2%","1.3%","93.3%","80.7%","3.0%","1.1%","4.5%","0.5%","0.2%","3.4%","0.1%","3.3%","(X)","","63,032","49.8%","50.2%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","±0.1","±0.4","±0.4","±0.3","±0.3","±0.2","±0.2","±0.1","±0.4","±0.4","±0.1","±0.3","±0.3","(X)","*****","±0.3","±0.4","±0.1","(X)","±0.1","±0.1","(X)","±0.3","±0.3","","(X)","±0.5","±0.5","±0.5","±0.5","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.4","±0.1","±0.1","±0.5","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","±0.5","±0.2","±0.2","±0.4","±0.1","","(X)","±0.6","±0.2","±0.2","±0.1","±0.2","±0.5","","(X)","*****","±0.4","±0.2","±0.1","±0.3","*****","±0.1","±0.2","±0.2","±0.4","±0.1","±0.1","±0.5","±0.1","±0.5","(X)","","(X)","±0.2","±0.2"
"Jefferson County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","30,333","14,876","15,457","1,062","1,194","1,094","1,220","1,158","2,572","2,483","3,552","2,881","3,519","6,072","2,647","879","56.2","26,183","25,517","11,767","9,598","26,183","12,778","13,405","9,598","4,669","4,929","","30,333","29,213","1,120","29,213","27,602","278","607","32","1","0","15","482","0","69","25","151","104","125","8","44","8","34","0","2","200","1,120","100","597","225","19","","30,333","28,681","468","1,233","814","137","286","","30,333","1,045","594","54","0","397","29,288","26,912","267","574","482","44","2","1,007","20","987","17,969","","25,579","12,512","13,067"
"    Margin of Error","","*****","±115","±115","±57","±150","±157","±124","±135","±98","±85","±100","±306","±306","±97","±162","±155","±0.6","±59","±152","±300","±86","±59","±65","±57","±86","±69","±61","","*****","±214","±214","±214","±125","±89","±140","±47","±3","±25","±23","±104","±25","±70","±31","±87","±95","±142","±15","±59","±12","±58","±25","±5","±79","±214","±79","±130","±90","±28","","*****","±211","±71","±78","±74","±101","±130","","*****","*****","±147","±49","±25","±140","*****","±29","±91","±131","±104","±59","±4","±192","±29","±186","±88","","±176","±134","±121"
"    Percent","","30,333","49.0%","51.0%","3.5%","3.9%","3.6%","4.0%","3.8%","8.5%","8.2%","11.7%","9.5%","11.6%","20.0%","8.7%","2.9%","(X)","86.3%","84.1%","38.8%","31.6%","26,183","48.8%","51.2%","9,598","48.6%","51.4%","","30,333","96.3%","3.7%","96.3%","91.0%","0.9%","2.0%","0.1%","0.0%","0.0%","0.0%","1.6%","0.0%","0.2%","0.1%","0.5%","0.3%","0.4%","0.0%","0.1%","0.0%","0.1%","0.0%","0.0%","0.7%","3.7%","0.3%","2.0%","0.7%","0.1%","","30,333","94.6%","1.5%","4.1%","2.7%","0.5%","0.9%","","30,333","3.4%","2.0%","0.2%","0.0%","1.3%","96.6%","88.7%","0.9%","1.9%","1.6%","0.1%","0.0%","3.3%","0.1%","3.3%","(X)","","25,579","48.9%","51.1%"
"    Percent Margin of Error","","(X)","±0.4","±0.4","±0.2","±0.5","±0.5","±0.4","±0.4","±0.3","±0.3","±0.3","±1.0","±1.0","±0.3","±0.5","±0.5","(X)","±0.2","±0.5","±1.0","±0.3","(X)","±0.2","±0.2","(X)","±0.5","±0.5","","(X)","±0.7","±0.7","±0.7","±0.4","±0.3","±0.5","±0.2","±0.1","±0.1","±0.1","±0.3","±0.1","±0.2","±0.1","±0.3","±0.3","±0.5","±0.1","±0.2","±0.1","±0.2","±0.1","±0.1","±0.3","±0.7","±0.3","±0.4","±0.3","±0.1","","(X)","±0.7","±0.2","±0.3","±0.2","±0.3","±0.4","","(X)","*****","±0.5","±0.2","±0.1","±0.5","*****","±0.1","±0.3","±0.4","±0.3","±0.2","±0.1","±0.6","±0.1","±0.6","(X)","","(X)","±0.4","±0.4"
"King County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,079,550","1,037,792","1,041,758","127,021","124,763","113,513","115,618","133,859","353,682","309,791","293,257","136,353","118,752","147,462","69,040","36,439","37.2","1,644,997","1,574,952","321,151","252,941","1,644,997","815,799","829,198","252,941","111,313","141,628","","2,079,550","1,953,734","125,816","1,953,734","1,397,436","127,902","14,581","688","458","314","418","332,246","65,572","86,851","46,072","21,823","29,657","39,772","42,499","16,215","1,834","1,881","5,765","6,735","65,354","125,816","23,178","18,605","44,373","3,716","","2,079,550","1,506,102","168,178","45,973","393,348","27,761","79,074","","2,079,550","194,189","134,615","8,305","3,296","47,973","1,885,361","1,294,359","124,303","11,354","330,518","15,874","3,929","105,024","2,237","102,787","882,655","","1,436,281","706,899","729,382"
"    Margin of Error","","*****","*****","*****","*****","±1,658","±1,659","*****","*****","*****","*****","*****","±1,794","±1,794","±84","±1,080","±1,070","±0.1","*****","±1,058","±1,530","*****","*****","*****","*****","*****","*****","*****","","*****","±3,756","±3,756","±3,756","±3,487","±1,766","±927","±189","±201","±144","±199","±2,493","±2,480","±2,584","±2,262","±1,219","±1,858","±2,053","±2,318","±698","±514","±525","±939","±971","±3,409","±3,756","±1,660","±1,202","±1,928","±571","","*****","±4,626","±1,566","±1,708","±910","±1,023","±3,575","","*****","*****","±2,536","±975","±735","±2,546","*****","±554","±1,580","±738","±2,437","±634","±644","±3,457","±500","±3,396","±626","","±3,791","±2,403","±2,348"
"    Percent","","2,079,550","49.9%","50.1%","6.1%","6.0%","5.5%","5.6%","6.4%","17.0%","14.9%","14.1%","6.6%","5.7%","7.1%","3.3%","1.8%","(X)","79.1%","75.7%","15.4%","12.2%","1,644,997","49.6%","50.4%","252,941","44.0%","56.0%","","2,079,550","93.9%","6.1%","93.9%","67.2%","6.2%","0.7%","0.0%","0.0%","0.0%","0.0%","16.0%","3.2%","4.2%","2.2%","1.0%","1.4%","1.9%","2.0%","0.8%","0.1%","0.1%","0.3%","0.3%","3.1%","6.1%","1.1%","0.9%","2.1%","0.2%","","2,079,550","72.4%","8.1%","2.2%","18.9%","1.3%","3.8%","","2,079,550","9.3%","6.5%","0.4%","0.2%","2.3%","90.7%","62.2%","6.0%","0.5%","15.9%","0.8%","0.2%","5.1%","0.1%","4.9%","(X)","","1,436,281","49.2%","50.8%"
"    Percent Margin of Error","","(X)","*****","*****","*****","±0.1","±0.1","*****","*****","*****","*****","*****","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","*****","±0.1","±0.1","*****","(X)","*****","*****","(X)","*****","*****","","(X)","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","","(X)","±0.2","±0.1","±0.1","±0.1","±0.1","±0.2","","(X)","*****","±0.1","±0.1","±0.1","±0.1","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","(X)","","(X)","±0.1","±0.1"
"Kitsap County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","257,488","131,150","126,338","14,874","14,548","15,331","15,429","21,031","34,960","29,067","34,618","20,070","16,634","25,489","11,126","4,311","39.2","203,285","193,304","50,266","40,926","203,285","103,423","99,862","40,926","18,885","22,041","","257,488","238,529","18,959","238,529","210,358","6,273","2,996","165","14","120","70","11,966","396","969","7,621","1,071","691","627","591","2,037","320","1,005","272","440","4,899","18,959","2,756","4,329","5,875","586","","257,488","227,050","10,975","9,172","20,220","4,448","6,551","","257,488","18,375","11,347","2,013","523","4,492","239,113","200,165","6,159","2,557","11,660","1,940","354","16,278","91","16,187","109,217","","198,029","101,748","96,281"
"    Margin of Error","","*****","±80","±80","*****","±611","±611","±247","±249","±108","±113","±91","±640","±654","±126","±367","±359","±0.3","*****","±575","±580","±135","*****","*****","*****","±135","±61","±117","","*****","±1,296","±1,296","±1,296","±736","±491","±411","±74","±18","±121","±45","±717","±201","±256","±744","±228","±198","±239","±225","±290","±149","±290","±134","±382","±629","±1,296","±511","±398","±767","±431","","*****","±1,337","±391","±594","±207","±404","±751","","*****","*****","±701","±528","±294","±627","*****","±140","±483","±307","±694","±277","±155","±1,055","±57","±1,050","±609","","±650","±346","±432"
"    Percent","","257,488","50.9%","49.1%","5.8%","5.6%","6.0%","6.0%","8.2%","13.6%","11.3%","13.4%","7.8%","6.5%","9.9%","4.3%","1.7%","(X)","78.9%","75.1%","19.5%","15.9%","203,285","50.9%","49.1%","40,926","46.1%","53.9%","","257,488","92.6%","7.4%","92.6%","81.7%","2.4%","1.2%","0.1%","0.0%","0.0%","0.0%","4.6%","0.2%","0.4%","3.0%","0.4%","0.3%","0.2%","0.2%","0.8%","0.1%","0.4%","0.1%","0.2%","1.9%","7.4%","1.1%","1.7%","2.3%","0.2%","","257,488","88.2%","4.3%","3.6%","7.9%","1.7%","2.5%","","257,488","7.1%","4.4%","0.8%","0.2%","1.7%","92.9%","77.7%","2.4%","1.0%","4.5%","0.8%","0.1%","6.3%","0.0%","6.3%","(X)","","198,029","51.4%","48.6%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","*****","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","±0.1","±0.1","±0.1","(X)","*****","±0.2","±0.2","±0.1","(X)","*****","*****","(X)","±0.2","±0.2","","(X)","±0.5","±0.5","±0.5","±0.3","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.3","±0.1","±0.1","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.5","±0.2","±0.2","±0.3","±0.2","","(X)","±0.5","±0.2","±0.2","±0.1","±0.2","±0.3","","(X)","*****","±0.3","±0.2","±0.1","±0.2","*****","±0.1","±0.2","±0.1","±0.3","±0.1","±0.1","±0.4","±0.1","±0.4","(X)","","(X)","±0.1","±0.1"
"Kittitas County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","42,785","21,381","21,404","2,117","2,273","1,957","3,657","7,175","4,858","4,407","4,819","2,642","2,620","3,833","1,543","884","33.7","35,169","30,936","7,804","6,260","35,169","17,518","17,651","6,260","2,989","3,271","","42,785","41,456","1,329","41,456","38,315","484","341","17","6","0","8","823","86","123","181","88","145","28","172","58","13","0","45","0","1,435","1,329","163","408","448","0","","42,785","39,515","658","867","1,375","337","1,454","","42,785","3,653","3,025","76","9","543","39,132","36,177","474","324","823","58","8","1,268","0","1,268","22,539","","33,818","16,809","17,009"
"    Margin of Error","","*****","±168","±168","±89","±219","±219","±152","±158","±239","±208","±153","±270","±265","±46","±179","±175","±0.8","*****","±352","±241","±55","*****","±161","±162","±55","±44","±53","","*****","±250","±250","±250","±349","±108","±155","±24","±10","±25","±18","±124","±85","±87","±125","±64","±102","±39","±132","±50","±19","±25","±47","±25","±353","±250","±120","±177","±132","±25","","*****","±414","±44","±23","±89","±144","±356","","*****","*****","±217","±54","±13","±219","*****","±11","±105","±157","±124","±50","±11","±238","±25","±238","±162","","±353","±299","±239"
"    Percent","","42,785","50.0%","50.0%","4.9%","5.3%","4.6%","8.5%","16.8%","11.4%","10.3%","11.3%","6.2%","6.1%","9.0%","3.6%","2.1%","(X)","82.2%","72.3%","18.2%","14.6%","35,169","49.8%","50.2%","6,260","47.7%","52.3%","","42,785","96.9%","3.1%","96.9%","89.6%","1.1%","0.8%","0.0%","0.0%","0.0%","0.0%","1.9%","0.2%","0.3%","0.4%","0.2%","0.3%","0.1%","0.4%","0.1%","0.0%","0.0%","0.1%","0.0%","3.4%","3.1%","0.4%","1.0%","1.0%","0.0%","","42,785","92.4%","1.5%","2.0%","3.2%","0.8%","3.4%","","42,785","8.5%","7.1%","0.2%","0.0%","1.3%","91.5%","84.6%","1.1%","0.8%","1.9%","0.1%","0.0%","3.0%","0.0%","3.0%","(X)","","33,818","49.7%","50.3%"
"    Percent Margin of Error","","(X)","±0.4","±0.4","±0.2","±0.5","±0.5","±0.4","±0.4","±0.6","±0.5","±0.4","±0.6","±0.6","±0.1","±0.4","±0.4","(X)","*****","±0.8","±0.6","±0.1","(X)","±0.5","±0.5","(X)","±0.6","±0.6","","(X)","±0.6","±0.6","±0.6","±0.8","±0.3","±0.4","±0.1","±0.1","±0.1","±0.1","±0.3","±0.2","±0.2","±0.3","±0.2","±0.2","±0.1","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.8","±0.6","±0.3","±0.4","±0.3","±0.1","","(X)","±1.0","±0.1","±0.1","±0.2","±0.3","±0.8","","(X)","*****","±0.5","±0.1","±0.1","±0.5","*****","±0.1","±0.2","±0.4","±0.3","±0.1","±0.1","±0.6","±0.1","±0.6","(X)","","(X)","±0.6","±0.6"
"Klickitat County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","20,930","10,486","10,444","1,076","1,295","1,202","1,112","1,182","2,000","2,521","2,529","1,856","1,762","2,823","1,216","356","45.5","16,642","15,929","5,511","4,395","16,642","8,343","8,299","4,395","2,190","2,205","","20,930","20,548","382","20,548","19,093","142","560","9","4","0","11","143","30","21","26","36","0","15","15","62","7","0","55","0","548","382","0","151","154","0","","20,930","19,475","149","746","329","71","581","","20,930","2,520","2,399","0","0","121","18,410","17,217","138","560","124","62","0","309","0","309","9,958","","15,716","7,853","7,863"
"    Margin of Error","","*****","±88","±88","±9","±142","±139","±92","±134","±174","±118","±100","±247","±245","±74","±98","±101","±0.8","*****","±142","±229","±79","*****","±21","±22","±79","±47","±56","","*****","±118","±118","±118","±314","±104","±156","±15","±8","±22","±15","±54","±33","±22","±25","±35","±22","±19","±25","±75","±12","±22","±73","±22","±295","±118","±22","±69","±49","±22","","*****","±304","±104","±166","±50","±75","±307","","*****","*****","±85","±22","±22","±85","*****","±22","±105","±156","±41","±75","±22","±97","±22","±97","±63","","±326","±158","±196"
"    Percent","","20,930","50.1%","49.9%","5.1%","6.2%","5.7%","5.3%","5.6%","9.6%","12.0%","12.1%","8.9%","8.4%","13.5%","5.8%","1.7%","(X)","79.5%","76.1%","26.3%","21.0%","16,642","50.1%","49.9%","4,395","49.8%","50.2%","","20,930","98.2%","1.8%","98.2%","91.2%","0.7%","2.7%","0.0%","0.0%","0.0%","0.1%","0.7%","0.1%","0.1%","0.1%","0.2%","0.0%","0.1%","0.1%","0.3%","0.0%","0.0%","0.3%","0.0%","2.6%","1.8%","0.0%","0.7%","0.7%","0.0%","","20,930","93.0%","0.7%","3.6%","1.6%","0.3%","2.8%","","20,930","12.0%","11.5%","0.0%","0.0%","0.6%","88.0%","82.3%","0.7%","2.7%","0.6%","0.3%","0.0%","1.5%","0.0%","1.5%","(X)","","15,716","50.0%","50.0%"
"    Percent Margin of Error","","(X)","±0.4","±0.4","±0.1","±0.7","±0.7","±0.4","±0.6","±0.8","±0.6","±0.5","±1.2","±1.2","±0.4","±0.5","±0.5","(X)","*****","±0.7","±1.1","±0.4","(X)","±0.1","±0.1","(X)","±0.8","±0.8","","(X)","±0.6","±0.6","±0.6","±1.5","±0.5","±0.7","±0.1","±0.1","±0.2","±0.1","±0.3","±0.2","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","±0.4","±0.1","±0.2","±0.3","±0.2","±1.4","±0.6","±0.2","±0.3","±0.2","±0.2","","(X)","±1.5","±0.5","±0.8","±0.2","±0.4","±1.5","","(X)","*****","±0.4","±0.2","±0.2","±0.4","*****","±0.2","±0.5","±0.7","±0.2","±0.4","±0.2","±0.5","±0.2","±0.5","(X)","","(X)","±0.5","±0.5"
"Lewis County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","75,724","37,742","37,982","4,451","4,587","4,549","4,841","4,272","8,600","8,483","10,007","5,613","5,472","8,751","3,955","2,143","43.1","59,055","56,393","17,662","14,849","59,055","29,198","29,857","14,849","7,090","7,759","","75,724","72,623","3,101","72,623","69,619","588","515","71","43","0","0","889","0","464","229","9","93","12","82","43","12","31","0","0","969","3,101","322","1,562","288","8","","75,724","72,554","1,048","2,385","1,336","297","1,543","","75,724","7,292","6,236","353","0","703","68,432","63,979","502","491","867","43","42","2,508","24","2,484","34,113","","56,902","27,955","28,947"
